Entrances,Not_reside,Used,floors,appartment,RuleID,Name,Shape_Leng,Shape_Area,lat,lon,Usage_Grouped,TileX,TileY,solar_2019,solar_2020,solar_2021,solar_2022,solar_2023,solar_2024
1,0,מגורים,2,4,1,,82.36323836,238.34307,31.25027135,34.79585266,Residence,386422.3458750165,329776.5655281016,0,0,0,0,0,0
1,0,מגורים,2,2,1,,76.40979187,197.88752,31.25025003,34.79631662,Residence,386422.4936295855,329779.17729288305,0,0,0,0,0,0
1,0,מגורים,3,3,1,,88.01448085,223.0009748,31.25026916,34.79667831,Residence,386422.3754991405,329781.2137685264,0,0,0,0,0,0
1,0,מגורים,2,2,1,,76.99579526,216.060384,31.25036369,34.79711667,Residence,386421.76674471394,329783.6827134088,0,0,0,0,0,0
1,0,מגורים,2,2,1,,73.23361786,196.5797176,31.2501544,34.79721246,Residence,386423.1342277036,329784.2198286579,0,0,0,0,0,0
1,0,מגורים,2,2,1,,78.13977575,228.881952,31.24991275,34.79732964,Residence,386424.7131636503,329784.87710414897,0,0,0,0,0,0
2,0,מגורים,2,4,1,,77.21834574,229.094912,31.2498447,34.79703483,Residence,386425.1517723633,329783.2165855275,0,0,0,0,0,0
1,1,מקלט,1,0,1,,16.86299454,16.721792,31.25012466,34.79696811,Public,386423.32378588966,329782.84381623776,0,0,0,0,0,0
2,0,מגורים,2,4,1,,68.00382946,181.201792,31.24977354,34.79680758,Residence,386425.61190824286,329781.93641484843,0,0,0,0,0,0
1,0,מגורים,2,4,1,,84.70144041,194.4808563,31.25002508,34.79670259,Residence,386423.9686754434,329781.347896735,0,0,0,0,0,0
2,0,מגורים,2,4,1,,111.3536259,317.7224847,31.25004076,34.79637162,Residence,386423.8602477018,329779.4847085024,0,0,0,0,0,0
3,0,מגורים,2,4,1,,73.56551538,215.2336755,31.2497486,34.79625687,Residence,386425.76451639686,329778.8356208701,0,0,0,0,0,0
1,0,מגורים,2,4,1,,80.93360084,212.976928,31.25003211,34.79584161,Residence,386423.906879212,329776.5007254238,0,0,0,0,0,0
1,0,מגורים,2,4,1,,81.20280778,186.8233949,31.24979608,34.79589106,Residence,386425.4479641448,329776.7766161183,0,0,0,0,0,0
1,0,מגורים,2,4,1,,71.39302283,235.049312,31.24981514,34.79559823,Residence,386425.3181811154,329775.12821867573,0,0,0,0,0,0
1,0,מגורים,2,4,1,,86.98707838,248.5302958,31.25111602,34.79303197,Residence,386416.779337232,329760.69715410814,0,0,0,0,0,0
1,1,אוניברסיטה,1,0,1,,124.1718251,885.4450974,31.2510655,34.79208303,Public,386417.0908663607,329755.35521152953,0,0,0,0,0,0
1,1,אוניברסיטה,1,0,1,,78.58422769,334.2798813,31.25119636,34.79242636,Public,386416.2431875548,329757.28939369466,0,0,0,0,0,0
1,1,אוניברסיטה,1,0,1,,75.71124703,271.3900605,31.25137058,34.7925001,Public,386415.1072010082,329757.70673640585,0,0,0,0,0,0
1,1,אוניברסיטה,3,0,1,,185.1606481,790.0362969,31.25141389,34.79161268,Public,386414.8072049917,329752.7125043684,0,1,1,1,1,1
1,1,אוניברסיטה,5,0,1,,98.74445629,369.8644953,31.250636,34.79103886,Public,386419.8745637694,329749.472415033,0,0,0,0,0,0
1,1,אוניברסיטה,1,0,1,,80.5562081,291.7142516,31.25032462,34.79175071,Public,386421.9208101538,329753.4751861579,0,0,0,0,0,0
1,1,אוניברסיטה,1,0,1,,108.9205422,566.2990431,31.25060009,34.79194689,Public,386420.1264468322,329754.5829183279,0,0,0,0,0,0
1,1,אוניברסיטה,1,0,1,,97.20470687,521.5961667,31.2507952,34.79208189,Public,386418.855402026,329755.34528946306,0,0,0,0,0,0
1,1,אוניברסיטה,3,0,1,,114.2399806,723.4072504,31.25096601,34.79117885,Public,386417.7228863726,329750.2647081466,0,0,0,0,0,0
1,1,אוניברסיטה,4,0,1,מכללה טכנולוגית,287.9654254,3396.680608,31.25071088,34.79144326,Public,386419.3935465108,329751.7495802604,0,0,0,0,0,0
1,0,גן ילדים,2,1,1,,110.0672097,283.411274,31.25146558,34.79065982,Public,386414.451090545,329747.35028993594,0,0,0,0,0,0
3,0,מגורים,2,3,1,,67.26160301,172.4961276,31.25142707,34.7908558,Residence,386414.7063756491,329748.4527592412,0,0,0,0,0,0
4,0,מגורים,2,4,1,,86.81545144,233.7607734,31.25115356,34.79064819,Residence,386416.4881062445,329747.28051216,0,0,0,0,0,0
3,0,מגורים,2,3,1,,111.2238218,393.2014712,31.25087873,34.79051661,Residence,386418.2798420137,329746.5362018752,1,0,0,0,0,0
4,0,מגורים,2,4,1,,69.30093295,173.8662455,31.2500331,34.79135749,Residence,386423.8160809757,329751.25818436226,0,0,0,0,0,0
4,0,מגורים,2,4,1,,110.2117949,320.0413122,31.25014466,34.79108435,Residence,386423.0827047715,329749.72213977354,0,0,0,0,0,0
4,0,מגורים,2,4,1,,71.17678075,189.9238435,31.25030047,34.79086259,Residence,386422.0614264872,329748.4759128452,0,0,0,0,0,0
4,0,מגורים,2,4,1,,84.00462991,251.4918875,31.24988355,34.79188729,Residence,386424.80222618696,329754.23854713363,0,0,0,0,0,0
1,0,מגורים,2,4,1,,52.10837591,116.4623825,31.25095581,34.79288493,Residence,386417.8223718792,329759.86745539523,0,0,0,0,0,0
1,0,מגורים,2,4,1,,81.23239554,210.5872085,31.25076103,34.79273756,Residence,386419.0910332904,329759.0354743945,0,0,0,0,0,0
1,0,מגורים,2,4,1,,87.26662608,222.1543088,31.25036951,34.79251101,Residence,386421.6423101845,329757.75537841587,0,0,0,0,0,0
1,0,מגורים,2,4,1,,83.44441409,207.7372426,31.25018409,34.79243921,Residence,386422.8511745691,329757.3489502851,0,0,0,0,0,0
1,0,מגורים,2,4,1,,79.32217787,236.5685876,31.25023168,34.79290955,Residence,386422.5494875572,329759.9970928791,0,0,0,0,0,0
1,0,מגורים,2,4,1,,73.28373037,186.0491995,31.25129931,34.79319406,Residence,386415.5858880655,329761.6118729838,0,0,0,0,0,0
1,0,מגורים,2,4,1,,81.52545598,211.3310443,31.25147297,34.79336607,Residence,386414.4554621536,329762.5823175786,0,0,0,0,0,0
1,0,מגורים,2,4,1,,96.82149021,235.7928144,31.25105916,34.79346451,Residence,386417.1588173618,329763.1311341534,0,0,0,0,0,0
1,0,מגורים,2,4,1,,90.86406215,254.601326,31.25087226,34.7932981,Residence,386418.3756794498,329762.192087432,0,0,0,0,0,0
1,0,מגורים,2,4,1,,80.91022041,241.8890988,31.25065583,34.7931795,Residence,386419.7861663186,329761.5218125545,0,0,0,0,0,0
1,0,מגורים,2,4,1,,66.35096518,160.8802125,31.25045847,34.79308022,Residence,386421.0724879735,329760.96054887155,0,0,0,0,0,0
1,0,מגורים,2,4,1,,82.54905406,225.9678757,31.25008889,34.79320439,Residence,386423.4869957119,329761.6550925671,0,0,0,0,0,0
1,0,מגורים,2,4,1,,72.58497799,244.1776373,31.25037896,34.79364168,Residence,386421.6020866943,329764.1201200793,0,0,0,0,0,0
1,0,מגורים,2,4,1,,111.3853701,304.0862606,31.25018294,34.7940691,Residence,386422.8894781237,329766.5238932575,0,0,0,0,0,0
1,0,מגורים,2,4,1,,99.13750327,232.1876811,31.25005478,34.79440898,Residence,386423.7322464407,329768.43576074485,0,0,0,0,0,0
1,0,מגורים,2,4,1,,83.97504334,187.2285146,31.25000552,34.79344329,Residence,386424.0355976043,329762.9989460615,0,0,0,0,0,0
1,0,מגורים,2,4,1,,85.5899532,232.7887044,31.24994651,34.79370214,Residence,386424.4255694075,329764.4554188239,0,0,0,0,0,0
1,0,מגורים,2,4,1,,70.56772128,198.6341753,31.24998458,34.79468857,Residence,386424.19559080544,329770.00893593155,0,0,0,0,0,0
1,0,מגורים,2,4,1,,87.34647423,232.9485631,31.25009671,34.79544174,Residence,386423.47789451847,329774.2502523317,0,0,0,0,0,0
1,0,מגורים,2,4,1,,81.4771678,212.4645924,31.2512727,34.79361122,Residence,386415.7676258568,329763.9596444869,0,0,0,0,0,0
1,0,מגורים,2,4,1,,55.04052907,135.8023741,31.25103485,34.79409086,Residence,386417.3294748397,329766.65654204856,0,0,0,0,0,0
1,0,מגורים,2,4,1,,83.13458219,246.2561805,31.25091204,34.79432721,Residence,386418.1356211449,329767.9854813509,0,0,0,0,0,0
1,0,מגורים,2,4,1,,71.51260918,201.471922,31.250672,34.79422194,Residence,386419.7004216592,329767.3900130076,0,0,0,0,0,0
1,0,מגורים,2,4,1,,84.12070175,217.2416704,31.25080046,34.79459595,Residence,386418.8690317044,329769.4969337601,0,0,0,0,0,0
1,1,מקלט,1,0,1,,16.36523046,15.40359723,31.25065077,34.79442817,Public,386419.84289193706,329768.5506800329,0,0,0,0,0,0
1,0,מגורים,2,4,1,,86.1892766,284.2490898,31.25049883,34.79467182,Residence,386420.8391701946,329769.9204858355,0,0,0,0,0,0
1,0,מגורים,2,4,1,,95.47594824,238.7885654,31.2504157,34.79502837,Residence,386421.3884203848,329771.9267066739,0,0,0,0,0,0
1,0,מגורים,2,4,1,,85.18861578,217.3026628,31.25067899,34.79508056,Residence,386419.6710147841,329772.22353522066,0,0,0,0,0,0
1,0,מגורים,2,4,1,,75.31421478,213.6940681,31.25031729,34.79549046,Residence,386422.0393168897,329774.526964015,0,0,0,0,0,0
1,0,מגורים,2,4,1,,58.69003283,140.3556525,31.25057551,34.79534011,Residence,386420.3512760532,329773.6834688492,0,0,0,0,0,0
1,0,מגורים,4,8,1,,49.84229109,152.8372863,31.25095399,34.79522715,Residence,386417.8788568904,329773.0519635207,0,0,0,0,0,0
1,0,מגורים,4,8,1,,50.5020999,156.4404245,31.25098052,34.7950815,Residence,386417.702933604,329772.2323681409,0,0,0,0,0,0
1,0,מגורים,4,8,1,,51.81145466,163.5869613,31.25100796,34.79493081,Residence,386417.5209688129,329771.38442049944,0,0,0,0,0,0
1,0,מגורים,4,8,1,,48.28237174,144.3471908,31.25103437,34.79478583,Residence,386417.3458292406,329770.56861206866,0,0,0,0,1,0
1,0,מגורים - חזית ציבורי/ מסחר,4,8,1,,47.7008688,141.2757382,31.25119922,34.79529163,Public,386416.2793675054,329773.4178588971,0,0,0,0,0,0
1,0,מגורים - חזית ציבורי/ מסחר,4,8,1,,50.86533489,149.018913,31.25122144,34.79515845,Public,386416.1317952529,329772.66842445766,0,0,0,0,0,0
1,0,מגורים - חזית ציבורי/ מסחר,4,8,1,,49.55811229,140.1171629,31.25124466,34.79502763,Public,386415.9777354287,329771.9322936487,0,0,0,0,0,0
1,1,מגורים - חזית ציבורי/ מסחר,4,8,1,,48.77250274,147.1492278,31.25127091,34.79489525,Public,386415.80386184616,329771.1874249674,0,0,0,0,0,0
2,5,מגורים - חזית ציבורי/ מסחר,4,8,1,,57.67184195,194.8794883,31.25136299,34.79437288,Public,386415.1927944326,329768.2481074051,0,0,0,0,0,0
2,1,מגורים - חזית ציבורי/ מסחר,4,8,1,,56.51406115,177.8814335,31.25141034,34.79410541,Public,386414.878559686,329766.7431266953,0,0,0,0,0,0
1,0,מגורים - חזית ציבורי/ מסחר,4,8,1,,41.31626263,106.2486813,31.25133999,34.79451024,Public,386415.34556717385,329769.0210216872,0,0,0,0,0,0
1,0,מגורים - חזית ציבורי/ מסחר,4,8,1,,41.10374959,105.0804718,31.25138921,34.79423436,Public,386415.018973585,329767.46871107153,0,0,0,0,0,0
2,2,מגורים - חזית ציבורי/ מסחר,4,8,1,,60.77885819,212.6509266,31.25144157,34.79392992,Public,386414.671310906,329765.755709363,0,0,0,0,0,0
1,1,מקלט,1,0,1,,16.43642828,15.65049166,31.25150624,34.79266168,Public,386414.224632028,329758.61799592973,0,0,0,0,0,0
1,1,מקלט,1,0,1,,8.327327045,4.262550154,31.25139627,34.79269916,Public,386414.9433298495,329758.8275019791,0,0,0,0,0,0
1,1,מקלט,1,0,1,,7.734692612,3.713200401,31.25141958,34.79263326,Public,386414.7898699672,329758.45688484574,0,0,0,0,0,0
1,1,מקלט,1,0,1,,8.46114154,4.288159635,31.25060599,34.79451994,Public,386420.13690056826,329769.06675199943,0,0,0,0,0,0
1,1,מקלט,1,0,1,,8.820222412,4.614540416,31.25054941,34.79449133,Public,386420.5056477777,329768.90503335267,0,0,0,0,0,0
1,0,מגורים,2,4,1,,86.64472514,209.6781942,31.25047426,34.79414195,Residence,386420.9895400073,329766.93738598,0,0,0,0,0,0
1,0,מגורים,2,4,1,,71.41416111,193.3596232,31.25028075,34.79458525,Residence,386422.26083569945,329769.4306357085,0,0,0,0,0,0
1,1,אוניברסיטה,1,0,1,,32.43315409,46.97049184,31.25088296,34.79245256,Public,386418.289633184,329757.4328120944,0,0,0,0,0,0
1,0,מגורים,4,8,1,,43.04570355,115.7980219,31.2500806,34.79059884,Residence,386423.4915375219,329746.98854673706,0,0,0,0,0,0
1,0,מגורים,4,8,1,,45.44382461,128.8230964,31.2499869,34.79055327,Residence,386424.1022598263,329746.73085676134,0,0,0,0,0,0
1,1,אוניברסיטה,3,0,1,,40.63735746,76.6921205,31.25124414,34.79124534,Public,386415.9083502957,329750.6426819315,0,1,1,1,1,0
3,0,מגורים,2,3,1,,72.92138062,189.0477096,31.25057274,34.79034278,Residence,386420.2740747691,329745.5537222202,0,0,0,0,0,0
1,0,מגורים,4,8,1,,50.93525072,142.9960999,31.25095863,34.79032571,Residence,386417.7544885678,329745.46284863644,0,0,0,0,0,0
1,0,מגורים,4,8,1,,50.79429064,142.8299906,31.25109307,34.79037891,Residence,386416.8777883861,329745.7641131963,0,0,0,0,0,0
3,0,מגורים,2,3,1,,79.94430593,314.4275483,31.25153701,34.79036332,Residence,386413.9788636224,329745.68256976147,0,0,0,0,0,0
1,0,מגורים,4,8,1,,60.78538032,212.1485968,31.24973976,34.7904331,Residence,386425.7130246284,329746.05134173593,1,0,0,0,0,0
2,0,מגורים,2,4,1,,95.6340288,235.0701992,31.24976564,34.79431344,Residence,386425.6173256493,329767.8946810504,0,0,0,0,0,0
1,0,מגורים,4,8,1,,49.72976033,152.1015367,31.24987929,34.79050094,Residence,386424.8036309616,329746.4349464924,0,0,0,0,0,0
1,0,מגורים,2,4,1,,86.80690329,243.0009086,31.24984646,34.7952956,Residence,386425.1082011226,329773.4248050548,0,0,0,0,0,0
1,0,מגורים,2,4,1,,91.28602185,234.268596,31.24992074,34.79493883,Residence,386424.61685694894,329771.4170994345,0,0,0,0,0,0
1,0,מגורים,2,4,1,,97.13595985,257.4045897,31.2498219,34.79277039,Residence,386425.2212649393,329759.2088779235,0,0,0,0,0,0
0,0,תחבורה,1,0,1,,11.08217271,5.702453513,31.24951325,34.79207854,Public,386427.22248488734,329755.3107071179,0,0,0,0,0,0
3,0,מגורים,2,4,1,,93.27304358,264.9912129,31.24966151,34.79457462,Residence,386426.3016795682,329769.3638848929,0,0,0,0,0,0
1,0,מגורים,4,8,1,,81.23760305,265.1074474,31.2492607,34.79368688,Residence,386428.9005327469,329764.3618600838,0,0,0,0,0,0
1,0,מגורים,4,8,1,,82.08089026,265.5840433,31.24931989,34.79347499,Residence,386428.51038038207,329763.16965083854,0,0,0,0,0,0
1,0,מגורים,4,8,1,,80.99662742,269.0058988,31.24937827,34.79326191,Residence,386428.1254725047,329761.97075611446,0,0,0,0,0,0
3,0,מגורים,2,4,1,,66.81387083,258.7986234,31.24860536,34.79417725,Residence,386433.1852238549,329767.11569453066,0,0,0,0,0,0
2,0,מגורים,2,2,1,,63.47529022,170.1275976,31.24844853,34.7940426,Residence,386434.2058623471,329766.35604206217,0,0,0,0,0,0
3,0,מגורים,2,4,1,,70.71139959,191.8902205,31.24870497,34.7936903,Residence,386432.5264507565,329764.3752238456,0,0,0,0,0,0
1,0,מגורים,1,1,1,,84.82188571,263.2332805,31.24902596,34.79345404,Residence,386430.4278460968,329763.0485196731,0,0,0,0,0,0
3,0,מגורים,3,18,1,,12.16948202,8.145482625,31.24866231,34.79291501,Residence,386432.7904894485,329760.0100764604,0,0,0,0,0,0
3,0,מגורים,3,18,1,,132.5146599,476.8692238,31.24876228,34.79297479,Residence,386432.13936079136,329760.3476815637,0,0,0,0,0,0
1,0,מגורים,4,8,1,,82.83797073,274.2805852,31.2494281,34.79294683,Residence,386427.7944320592,329760.19758735725,0,0,0,0,0,0
1,0,מגורים,4,8,1,,98.34948096,327.8480306,31.24946022,34.79272437,Residence,386427.580670008,329758.9456410139,0,0,0,0,0,0
1,0,מגורים,4,8,1,,90.81455803,294.5693993,31.24950121,34.79251739,Residence,386427.3093036501,329757.78095536673,0,0,0,0,0,0
