Entrances,Not_reside,Used,floors,appartment,RuleID,Name,Shape_Leng,Shape_Area,lat,lon
1,0,מגורים,4,8,1,,60.78538032,212.1485968,31.24973976,34.7904331
2,0,מגורים,2,4,1,,95.6340288,235.0701992,31.24976564,34.79431344
1,0,מגורים,4,8,1,,49.72976033,152.1015367,31.24987929,34.79050094
1,0,מגורים,2,4,1,,86.80690329,243.0009086,31.24984646,34.7952956
1,0,מגורים,2,4,1,,91.28602185,234.268596,31.24992074,34.79493883
1,0,מגורים,2,4,1,,97.13595985,257.4045897,31.2498219,34.79277039
0,0,תחבורה,1,0,1,,11.08217271,5.702453513,31.24951325,34.79207854
3,0,מגורים,2,4,1,,93.27304358,264.9912129,31.24966151,34.79457462
1,0,מגורים,4,8,1,,81.23760305,265.1074474,31.2492607,34.79368688
1,0,מגורים,4,8,1,,82.08089026,265.5840433,31.24931989,34.79347499
1,0,מגורים,4,8,1,,80.99662742,269.0058988,31.24937827,34.79326191
3,0,מגורים,2,4,1,,66.81387083,258.7986234,31.24860536,34.79417725
2,0,מגורים,2,2,1,,63.47529022,170.1275976,31.24844853,34.7940426
3,0,מגורים,2,4,1,,70.71139959,191.8902205,31.24870497,34.7936903
1,0,מגורים,1,1,1,,84.82188571,263.2332805,31.24902596,34.79345404
3,0,מגורים,3,18,1,,12.16948202,8.145482625,31.24866231,34.79291501
3,0,מגורים,3,18,1,,132.5146599,476.8692238,31.24876228,34.79297479
1,0,מגורים,4,8,1,,82.83797073,274.2805852,31.2494281,34.79294683
1,0,מגורים,4,8,1,,98.34948096,327.8480306,31.24946022,34.79272437
1,0,מגורים,4,8,1,,90.81455803,294.5693993,31.24950121,34.79251739
1,0,רפואה,2,0,1,קופ''ח א',121.6585736,482.300115,31.24902046,34.79096334
1,0,מגורים,7,28,1,,82.90910318,285.9241548,31.24910178,34.79192131
1,0,בית כנסת,2,0,1,,81.76670655,368.0870603,31.24886754,34.79150013
1,0,רפואה,2,0,1,מד''א,106.4055795,515.0630491,31.24864824,34.79201433
0,0,תחבורה,1,0,1,,12.36927355,8.61868,31.24776793,34.79112113
6,0,מגורים,4,48,1,,327.3905855,1437.112382,31.24814459,34.79107315
1,0,מגורים,3,6,1,,90.38673943,316.917135,31.24739776,34.79075472
3,0,מגורים,3,18,1,,145.5241346,621.0535499,31.24758667,34.79143488
3,0,מגורים,3,18,1,,149.0576949,541.8194718,31.247461,34.79201085
3,0,מגורים,3,18,1,,119.7134309,445.7680823,31.24719734,34.79120317
